Date,Site,Logger,WNStime,Season,WNSWinters,Ct,Pd,Type,slope,intercept,logDNA,x,z,Tmean,Tmedian,Tsd,Tmin,Tmax,Trange
8/14/12,2,306,0,Summer,0,0,0,swab,-3.481,37.906,0,190.95,2,13.07775,13.0935,0.06031791,12.999,13.125,0.126
8/14/12,2,307,0,Summer,0,0,0,swab,-3.481,37.906,0,192.54,0.9,13.01925,13.0505,0.08862421,12.894,13.082,0.188
8/14/12,2,308,0,Summer,0,0,0,swab,-3.481,37.906,0,194.13,1.6,NA,NA,NA,NA,NA,NA
8/14/12,2,309,0,Summer,0,0,0,swab,-3.481,37.906,0,195.72,1,NA,NA,NA,NA,NA,NA
8/14/12,2,310,0,Summer,0,0,0,swab,-3.481,37.906,0,183,0.4,NA,NA,NA,NA,NA,NA
8/14/12,2,311,0,Summer,0,0,0,swab,-3.481,37.906,0,184.59,1.99,NA,NA,NA,NA,NA,NA
8/14/12,2,312,0,Summer,0,0,0,swab,-3.481,37.906,0,186.18,0.4,NA,NA,NA,NA,NA,NA
8/14/12,2,313,0,Summer,0,0,0,swab,-3.481,37.906,0,187.77,1.99,NA,NA,NA,NA,NA,NA
8/14/12,2,314,0,Summer,0,0,0,swab,-3.481,37.906,0,189.36,0.4,13.06275,13.047,0.05979618,13.016,13.141,0.125
8/14/12,2,315,0,Summer,0,0,0,swab,-3.481,37.906,0,190.95,1.99,NA,NA,NA,NA,NA,NA
8/14/12,2,316,0,Summer,0,0,0,swab,-3.481,37.906,0,192.54,0.41,NA,NA,NA,NA,NA,NA
8/14/12,2,317,0,Summer,0,0,0,swab,-3.481,37.906,0,194.13,2.5,NA,NA,NA,NA,NA,NA
8/14/12,2,318,0,Summer,0,0,0,swab,-3.481,37.906,0,195.72,0.8,12.9795,12.9795,0.03637307,12.948,13.011,0.063
8/14/12,2,319,0,Summer,0,0,0,swab,-3.481,37.906,0,194.13,1.37,NA,NA,NA,NA,NA,NA
8/14/12,2,319,0,Summer,0,0,0,sediment,-3.432,37.741,0,194.13,0,NA,NA,NA,NA,NA,NA
8/14/12,2,320,0,Summer,0,0,0,swab,-3.481,37.906,0,190.95,1.37,NA,NA,NA,NA,NA,NA
8/14/12,2,321,0,Summer,0,0,0,swab,-3.481,37.906,0,187.77,1.5,13.10975,13.1095,0.08094597,13.016,13.204,0.188
8/14/12,2,321,0,Summer,0,0,0,sediment,-3.432,37.741,0,187.77,0,13.10975,13.1095,0.08094597,13.016,13.204,0.188
8/14/12,2,322,0,Summer,0,0,0,swab,-3.481,37.906,0,186.18,2.6,13.04,13.0555,0.10715409,12.899,13.15,0.251
8/14/12,2,323,0,Summer,0,0,0,sediment,-3.432,37.741,0,183,0,13.09425,13.1255,0.08862421,12.969,13.157,0.188
8/14/12,2,323,0,Summer,0,0,0,swab,-3.481,37.906,0,183,1.5,13.09425,13.1255,0.08862421,12.969,13.157,0.188
8/14/12,2,324,0,Summer,0,0,0,sediment,-3.432,37.741,0,190.95,0,13.016,13.0005,0.05988322,12.969,13.094,0.125
8/14/12,2,325,0,Summer,0,0,0,sediment,-3.432,37.741,0,184.59,0,NA,NA,NA,NA,NA,NA
8/17/12,3,101,5,Summer,2,0,0,swab,-3.378,36.924,0,14.2,1.88,NA,NA,NA,NA,NA,NA
8/17/12,3,102,5,Summer,2,0,0,swab,-3.378,36.924,0,16.8,1.45,18.81325,18.688,0.71274931,18.156,19.721,1.565
8/17/12,3,103,5,Summer,2,0,0,swab,-3.378,36.924,0,19.4,1.54,NA,NA,NA,NA,NA,NA
8/17/12,3,104,5,Summer,2,35.98,1,swab,-3.378,36.924,0.28,22,1.75,NA,NA,NA,NA,NA,NA
8/17/12,3,105,5,Summer,2,0,0,swab,-3.378,36.924,0,16.8,1.9,NA,NA,NA,NA,NA,NA
8/17/12,3,106,5,Summer,2,0,0,swab,-3.378,36.924,0,14.2,1.74,18.878,19.045,0.76430818,18.044,19.545,1.501
8/17/12,3,107,5,Summer,2,0,0,swab,-3.378,36.924,0,19.4,1.51,NA,NA,NA,NA,NA,NA
8/17/12,3,108,5,Summer,2,0,0,swab,-3.378,36.924,0,22,1.64,NA,NA,NA,NA,NA,NA
8/17/12,3,109,5,Summer,2,34.21,1,sediment,-3.432,37.741,1.03,15.5,0,24.65766667,23.783,2.55296403,22.657,27.533,4.876
8/17/12,3,109,5,Summer,2,0,0,swab,-3.378,36.924,0,15.5,2.42,24.65766667,23.783,2.55296403,22.657,27.533,4.876
8/17/12,3,110,5,Summer,2,0,0,swab,-3.378,36.924,0,18.1,2.43,NA,NA,NA,NA,NA,NA
8/17/12,3,111,5,Summer,2,30.69,1,sediment,-3.432,37.741,2.05,20.7,0,NA,NA,NA,NA,NA,NA
8/17/12,3,111,5,Summer,2,0,0,swab,-3.378,36.924,0,20.7,2,NA,NA,NA,NA,NA,NA
8/17/12,3,112,5,Summer,2,32.4,1,sediment,-3.432,37.741,1.56,23.3,0,NA,NA,NA,NA,NA,NA
8/17/12,3,112,5,Summer,2,0,0,swab,-3.378,36.924,0,23.3,2.35,NA,NA,NA,NA,NA,NA
